Name,Power,Engine,Power_to_Weight_Ratio
Toyota Corolla Altis G AT,138.03,1798.0,0.0767686318131257
Hyundai Elantra CRDi,112.2,1991.0,0.056353591160221
Toyota Innova Crysta 2.7 GX MT,163.7,2694.0,0.06076466221232368
Hyundai Xcent 1.1 CRDi S,71.0,1120.0,0.06339285714285714
Mahindra Thar CRDe AC,105.0,2498.0,0.042033626901521216
Audi A4 2.0 TDI 177 Bhp Premium Plus,174.33,1968.0,0.08858231707317074
Maruti Swift LDI,74.0,1248.0,0.05929487179487179
Maruti Swift Ldi BSIV,75.0,1248.0,0.06009615384615385
Maruti Swift VDI,74.0,1248.0,0.05929487179487179
Hyundai Grand i10 Sportz,82.0,1197.0,0.06850459482038429
Volkswagen Vento 2013-2015 1.6 Comfortline,103.2,1598.0,0.06458072590738423
Renault KWID RXT,53.3,799.0,0.06670838548185232
Hyundai i10 Asta,78.9,1197.0,0.06591478696741855
Nissan X-Trail SLX AT,147.6,1995.0,0.07398496240601503
Maruti Zen Estilo VXI BSIII,67.1,998.0,0.06723446893787574
Toyota Innova Crysta 2.4 GX MT 8S,147.8,2393.0,0.06176347680735479
Ford Figo Diesel Titanium,68.0,1399.0,0.04860614724803431
Mercedes-Benz New C-Class C 200 CGI Avantgarde,186.0,1796.0,0.10356347438752785
Mercedes-Benz New C-Class 200 CDI Classic,170.0,2148.0,0.07914338919925512
Tata Indica V2 eLS,69.0,1396.0,0.0494269340974212
Audi A4 2.0 TDI Multitronic,140.0,1968.0,0.07113821138211382
Honda City ZX CVT,78.0,1497.0,0.052104208416833664
Mercedes-Benz C-Class Progressive C 220d,194.0,1950.0,0.09948717948717949
Maruti Ertiga SHVS VDI,88.5,1248.0,0.07091346153846154
Hyundai Creta 1.4 E Plus Diesel,88.7,1396.0,0.06353868194842408
Porsche Cayenne 2009-2014 Turbo,500.0,4806.0,0.10403662089055347
Mahindra XUV500 W8 4WD,140.0,2179.0,0.06424965580541533
Hyundai i10 Sportz 1.2 AT,78.9,1197.0,0.06591478696741855
Nissan Terrano XV D Pre,108.5,1461.0,0.07426420260095824
Honda Brio VX AT,86.8,1198.0,0.07245409015025041
Audi A6 2.0 TDI Design Edition,187.74,1968.0,0.09539634146341464
Toyota Innova 2.0 G1,132.0,1998.0,0.06606606606606606
Toyota Innova 2.5 VX 7 STR BSIV,102.0,2494.0,0.0408981555733761
Maruti Swift VDI,74.0,1248.0,0.05929487179487179
Tata Zest Revotron 1.2T XE,88.7,1193.0,0.07435037720033529
Honda Amaze SX i-VTEC,86.7,1198.0,0.07237061769616027
Ford Figo Diesel ZXI,68.0,1399.0,0.04860614724803431
Maruti Ritz VDi,73.94,1248.0,0.05924679487179487
Honda City i VTEC E,117.3,1497.0,0.0783567134268537
BMW 5 Series 2003-2012 525d,218.0,1995.0,0.10927318295739348
Hyundai i10 Sportz 1.2,78.9,1197.0,0.06591478696741855
Hyundai Grand i10 Sportz,82.0,1197.0,0.06850459482038429
Honda Amaze SX i-VTEC,86.7,1198.0,0.07237061769616027
Toyota Fortuner 4x2 Manual,168.5,2982.0,0.05650570087189805
Audi A6 2011-2015 35 TDI Premium,174.33,1968.0,0.08858231707317074
Ford Ecosport 1.5 DV5 MT Titanium Optional,89.84,1498.0,0.05997329773030708
Mahindra XUV500 W8 2WD,140.0,2179.0,0.06424965580541533
Honda Amaze SX i-DTEC,98.6,1498.0,0.06582109479305741
Volkswagen Polo Diesel Highline 1.2L,73.9,1199.0,0.06163469557964971
Hyundai Verna Transform SX VGT CRDi,110.0,1493.0,0.07367716008037509
Maruti Wagon R VXI BS IV,67.1,998.0,0.06723446893787574
Volkswagen Polo Petrol Highline 1.6L,103.5,1598.0,0.06476846057571965
Hyundai i20 1.4 CRDi Sportz,90.0,1396.0,0.06446991404011461
Hyundai i20 Asta 1.2,82.85,1197.0,0.06921470342522974
Datsun GO Plus T Petrol,67.0,1198.0,0.055926544240400666
Audi A4 3.0 TDI Quattro Premium,241.4,2967.0,0.08136164475901585
Hyundai i20 2015-2017 Asta,80.0,1197.0,0.06683375104427736
Maruti Omni 5 Str STD,35.0,796.0,0.04396984924623116
Toyota Etios Liva 1.2 G,78.9,1197.0,0.06591478696741855
Jaguar XF 3.0 Litre S Premium Luxury,270.9,2993.0,0.09051119278316071
Mahindra XUV500 W8 2WD,140.0,2179.0,0.06424965580541533
Hyundai Verna 1.6 SX CRDI (O) AT,126.32,1582.0,0.07984829329962073
Toyota Innova Crysta 2.8 ZX AT,171.5,2755.0,0.062250453720508164
Maruti Eeco 5 Seater AC,73.0,1196.0,0.061036789297658864
Tata Nano Twist XT,37.5,624.0,0.06009615384615385
BMW 3 Series 320d Luxury Line,190.0,1995.0,0.09523809523809523
Honda Civic 2006-2010 1.8 V MT,130.0,1799.0,0.07226236798221233
Toyota Innova 2.5 VX (Diesel) 7 Seater,100.6,2494.0,0.04033680834001604
Volvo V40 Cross Country D3,150.0,1984.0,0.07560483870967742
Nissan Micra XV CVT,75.94,1198.0,0.0633889816360601
BMW 5 Series 2010-2013 525i,215.0,2497.0,0.08610332398878655
Maruti Vitara Brezza VDi,88.5,1248.0,0.07091346153846154
Mercedes-Benz B Class B200 CDI,107.3,2143.0,0.050069995333644424
Hyundai Verna CRDi 1.6 SX Option,126.2,1582.0,0.0797724399494311
Maruti Wagon R LXI BS IV,67.1,998.0,0.06723446893787574
Tata Nano XTA,37.48,624.0,0.06006410256410256
Mahindra Scorpio VLX,120.0,2179.0,0.05507113354749885
Mercedes-Benz New C-Class 200 K AT,178.0,1796.0,0.09910913140311804
Honda CR-V 2.4 MT,152.0,2354.0,0.06457094307561598
Volkswagen Vento 1.5 TDI Comfortline AT,103.2,1498.0,0.06889185580774367
Maruti Ciaz VXi Plus,91.1,1373.0,0.0663510560815732
Mahindra XUV500 AT W10 FWD,140.0,2179.0,0.06424965580541533
Maruti Ritz VXI ABS,85.8,1197.0,0.07167919799498747
Maruti Alto K10 VXI,67.1,998.0,0.06723446893787574
Mercedes-Benz SLC 43 AMG,362.07,2996.0,0.12085113484646194
Hyundai Verna VTVT 1.6 AT SX Plus,121.3,1591.0,0.07624135763670647
Maruti Alto LXi BSIII,46.3,796.0,0.05816582914572864
BMW 1 Series 118d Base,143.0,1995.0,0.07167919799498747
Honda Jazz 1.2 V CVT i VTEC,88.7,1199.0,0.07397831526271893
Honda Civic 2006-2010 1.8 V MT,130.0,1799.0,0.07226236798221233
Mercedes-Benz New C-Class C 220 CDI Avantgarde,170.0,2143.0,0.07932804479701354
Honda Amaze SX i-DTEC,98.6,1498.0,0.06582109479305741
Maruti Swift VVT VXI,81.8,1197.0,0.0683375104427736
Toyota Fortuner 3.0 Diesel,171.0,2982.0,0.05734406438631791
Chevrolet Beat LT Option,76.8,1199.0,0.0640533778148457
Skoda Rapid 1.5 TDI Elegance,103.52,1498.0,0.06910547396528705
Maruti Ciaz 1.4 Alpha,91.1,1373.0,0.0663510560815732
Audi RS5 Coupe,444.0,2894.0,0.15342087076710437
BMW 3 Series Luxury Line,190.0,1995.0,0.09523809523809523
Audi A4 2.0 TDI 177 Bhp Premium Plus,174.33,1968.0,0.08858231707317074
Maruti Swift VDI,74.0,1248.0,0.05929487179487179
Mercedes-Benz S Class 2005 2013 S 500,362.9,5461.0,0.06645303058047976
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,103.52,1498.0,0.06910547396528705
Skoda Superb Elegance 2.0 TDI CR AT,138.1,1968.0,0.07017276422764228
Hyundai EON Magna Plus,55.2,814.0,0.06781326781326781
Volkswagen Polo Diesel Trendline 1.2L,73.9,1199.0,0.06163469557964971
Datsun GO NXT,67.06,1198.0,0.05597662771285476
Honda Brio S MT,86.8,1198.0,0.07245409015025041
Mercedes-Benz B Class B180,120.7,1595.0,0.07567398119122257
Honda City i DTEC V,98.6,1498.0,0.06582109479305741
Toyota Innova 2.5 G (Diesel) 7 Seater,100.6,2494.0,0.04033680834001604
Maruti Swift VXI Optional,81.8,1197.0,0.0683375104427736
Mahindra XUV500 W8 2WD,140.0,2179.0,0.06424965580541533
Ford Ecosport 1.5 DV5 MT Ambiente,89.84,1498.0,0.05997329773030708
Toyota Fortuner 4x2 Manual,168.5,2982.0,0.05650570087189805
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,108.5,1498.0,0.07242990654205607
Ford Figo Diesel Titanium,68.0,1399.0,0.04860614724803431
BMW X5 xDrive 30d,258.0,2993.0,0.08620113598396258
Mercedes-Benz New C-Class C 220 CDI Style,167.62,2143.0,0.07821745216985534
Honda Brio V MT,86.8,1198.0,0.07245409015025041
Hyundai i10 Magna 1.2,78.9,1197.0,0.06591478696741855
Mercedes-Benz GLC 220,170.0,2143.0,0.07932804479701354
Hyundai Grand i10 1.2 Kappa Asta,81.86,1197.0,0.0683876357560568
Audi A6 2011-2015 2.0 TDI Premium Plus,174.33,1968.0,0.08858231707317074
Volkswagen Vento Petrol Highline AT,103.6,1598.0,0.06483103879849812
Mini Countryman Cooper D,112.0,1998.0,0.056056056056056056
Hyundai i20 Asta 1.4 CRDi,88.73,1396.0,0.06356017191977077
Audi A6 2011-2015 2.0 TDI Premium Plus,174.33,1968.0,0.08858231707317074
Chevrolet Beat Diesel LT,57.6,936.0,0.06153846153846154
Skoda Superb Elegance 1.8 TSI AT,157.75,1798.0,0.08773637374860957
Ford Fiesta 1.4 TDCi EXI Limited Edition,68.0,1399.0,0.04860614724803431
BMW 5 Series 520d Luxury Line,190.0,1995.0,0.09523809523809523
Chevrolet Optra Magnum 1.6 LS BS3,102.5,1598.0,0.06414267834793493
Volkswagen Polo Diesel Highline 1.2L,73.9,1199.0,0.06163469557964971
Renault Lodgy 110PS RxZ 8 Seater,108.5,1461.0,0.07426420260095824
Mercedes-Benz E-Class E250 CDI Avantgrade,201.1,2143.0,0.09384041063929072
Maruti Baleno Alpha,83.1,1197.0,0.06942355889724311
Hyundai Verna 1.6 SX,126.32,1582.0,0.07984829329962073
Hyundai i10 Magna 1.1,68.05,1086.0,0.06266114180478821
Mahindra Scorpio 1.99 S10 4WD,120.0,1997.0,0.06009013520280421
Land Rover Range Rover 2.2L Dynamic,187.7,2179.0,0.08614043139054611
Ford Figo Diesel ZXI,68.0,1399.0,0.04860614724803431
Maruti Ertiga ZDI,88.5,1248.0,0.07091346153846154
Honda City 1.5 GXI,98.6,1497.0,0.06586506346025384
Honda Amaze S i-Dtech,98.6,1498.0,0.06582109479305741
Hyundai i10 Magna,78.9,1197.0,0.06591478696741855
Honda Amaze S i-Dtech,98.6,1498.0,0.06582109479305741
Skoda Laura Ambiente,106.0,1896.0,0.05590717299578059
Renault Duster 85PS Diesel RxL,83.8,1461.0,0.05735797399041752
Mahindra NuvoSport N6,100.0,1493.0,0.06697923643670463
Maruti Vitara Brezza ZDi Plus Dual Tone,88.5,1248.0,0.07091346153846154
Hyundai i20 Asta Option 1.2,81.83,1197.0,0.06836257309941521
Skoda Fabia 1.4 MPI Ambiente,85.0,1390.0,0.06115107913669065
Tata Indigo eCS GLX,64.1,1193.0,0.053730092204526396
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,174.33,1968.0,0.08858231707317074
Skoda Octavia Elegance 1.8 TSI AT,177.5,1798.0,0.09872080088987764
Toyota Etios Liva GD SP,67.06,1364.0,0.04916422287390029
Maruti Swift 1.3 VXi,98.6,1497.0,0.06586506346025384
Mercedes-Benz B Class B180,120.7,1595.0,0.07567398119122257
Honda Amaze S Diesel,98.6,1498.0,0.06582109479305741
Hyundai Verna 1.6 SX,126.32,1582.0,0.07984829329962073
Renault Duster 85PS Diesel RxL Optional,83.8,1461.0,0.05735797399041752
Hyundai Creta 1.6 VTVT S,121.3,1591.0,0.07624135763670647
Maruti Wagon R AMT VXI,67.0,998.0,0.06713426853707415
Mercedes-Benz New C-Class C250 Avantgarde,186.0,1796.0,0.10356347438752785
Audi A8 L 3.0 TDI quattro,246.7,2967.0,0.08314796090326929
Hyundai i10 Magna 1.1,68.05,1086.0,0.06266114180478821
Skoda Rapid 1.6 MPI AT Style Black Package,103.52,1598.0,0.06478097622027534
Skoda Superb Style 1.8 TSI AT,177.46,1798.0,0.09869855394883204
Hyundai i20 Active 1.2 SX,81.86,1197.0,0.0683876357560568
Honda Amaze VX i-DTEC,98.6,1498.0,0.06582109479305741
Maruti Wagon R LXI,67.1,998.0,0.06723446893787574
Mahindra Verito 1.5 D4 BSIV,65.0,1461.0,0.044490075290896644
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,167.62,2143.0,0.07821745216985534
Maruti Wagon R VXI,67.04,998.0,0.06717434869739479
Nissan Terrano XV Premium 110 PS Anniversary Edition,108.5,1461.0,0.07426420260095824
Mini Cooper Convertible S,189.08,1998.0,0.09463463463463465
Ford Figo Diesel,99.0,1498.0,0.06608811748998665
Tata Indica V2 DLS BSII,53.5,1396.0,0.03832378223495702
Chevrolet Beat LT,76.8,1199.0,0.0640533778148457
Volkswagen Polo Diesel Comfortline 1.2L,73.9,1199.0,0.06163469557964971
Maruti Swift ZDi,74.0,1248.0,0.05929487179487179
Ford Figo Diesel EXI,68.05,1399.0,0.04864188706218728
Toyota Innova Crysta 2.8 GX AT,171.5,2755.0,0.062250453720508164
Hyundai Santa Fe 4x4 AT,194.3,2199.0,0.08835834470213734
Honda City i-VTEC V,117.3,1497.0,0.0783567134268537
Hyundai i20 1.2 Magna Executive,81.83,1197.0,0.06836257309941521
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,167.62,2143.0,0.07821745216985534
Chevrolet Beat Diesel LT,57.6,936.0,0.06153846153846154
Hyundai i20 Sportz 1.4 CRDi,88.73,1396.0,0.06356017191977077
Toyota Innova 2.5 Z Diesel 7 Seater,100.6,2494.0,0.04033680834001604
Maruti Ertiga VDI,88.76,1248.0,0.07112179487179487
Toyota Innova 2.5 V Diesel 7-seater,102.0,2494.0,0.0408981555733761
Honda City i VTEC V,117.3,1497.0,0.0783567134268537
BMW X1 sDrive20d,184.0,1995.0,0.09223057644110276
Hyundai Grand i10 CRDi Era,70.0,1120.0,0.0625
Maruti Ciaz 1.3 Alpha,88.5,1248.0,0.07091346153846154
Skoda Rapid Leisure 1.6 TDI MT,103.6,1598.0,0.06483103879849812
Hyundai Accent CRDi,82.0,1493.0,0.05492297387809779
Volkswagen Polo GT 1.5 TDI,103.6,1498.0,0.0691588785046729
Honda Jazz 1.2 VX i VTEC,88.7,1199.0,0.07397831526271893
Hyundai i10 Era,68.05,1086.0,0.06266114180478821
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,183.0,1995.0,0.09172932330827067
Toyota Innova Crysta 2.4 ZX MT,147.8,2393.0,0.06176347680735479
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,35.0,796.0,0.04396984924623116
Maruti Swift VXI BSIV,81.8,1197.0,0.0683375104427736
Hyundai Grand i10 Magna,82.0,1197.0,0.06850459482038429
Maruti Swift VDI,74.0,1248.0,0.05929487179487179
Hyundai Verna CRDi 1.6 SX,126.2,1582.0,0.0797724399494311
Hyundai i20 1.2 Sportz,80.0,1197.0,0.06683375104427736
Mercedes-Benz GLE 350d,254.79,2987.0,0.08529963173752929
Mercedes-Benz New C-Class C 220 CDI CLASSIC,170.0,2148.0,0.07914338919925512
Maruti Ritz ZDi,73.94,1248.0,0.05924679487179487
Hyundai Creta 1.6 CRDi SX,126.2,1582.0,0.0797724399494311
Maruti A-Star Vxi,66.1,998.0,0.06623246492985971
Renault Duster 110PS Diesel RXZ Option,108.45,1461.0,0.0742299794661191
Fiat Grande Punto 1.3 Emotion Pack (Diesel),76.0,1248.0,0.060897435897435896
BMW X3 xDrive30d M Sport,258.0,2993.0,0.08620113598396258
Hyundai i10 Sportz,78.9,1197.0,0.06591478696741855
Toyota Innova 2.5 G4 Diesel 7-seater,102.0,2494.0,0.0408981555733761
Maruti Zen VXI BSII,60.0,993.0,0.06042296072507553
Maruti Swift VDI,74.0,1248.0,0.05929487179487179
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,120.0,2179.0,0.05507113354749885
Tata Zest Quadrajet 1.3 75PS XE,74.0,1248.0,0.05929487179487179
Ford EcoSport 1.0 Ecoboost Titanium Plus,123.24,999.0,0.12336336336336336
Maruti Swift Dzire ZDI,74.0,1248.0,0.05929487179487179
Maruti Alto 800 LXI,47.3,796.0,0.059422110552763814
Honda City 1.5 S MT,118.0,1497.0,0.0788243152972612
Audi Q7 3.0 TDI Quattro Technology,241.4,2967.0,0.08136164475901585
Skoda Laura 1.9 TDI AT Ambiente,105.0,1896.0,0.055379746835443035
Hyundai Verna 1.6 SX VTVT (O),121.3,1591.0,0.07624135763670647
Honda City 1.5 V AT,118.0,1497.0,0.0788243152972612
Hyundai i20 Magna Optional 1.4 CRDi,88.8,1396.0,0.06361031518624642
Hyundai i20 Sportz AT 1.4,98.6,1396.0,0.07063037249283667
Volkswagen Vento Diesel Highline,103.6,1598.0,0.06483103879849812
Honda City i VTEC VX,117.3,1497.0,0.0783567134268537
Tata Zest Quadrajet 1.3 75PS XE,74.0,1248.0,0.05929487179487179
BMW 5 Series 2003-2012 520d,177.0,1995.0,0.0887218045112782
Maruti Wagon R LXI Minor,67.0,1061.0,0.06314797360980208
Honda Jazz VX,88.7,1199.0,0.07397831526271893
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,105.0,1896.0,0.055379746835443035
Hyundai i10 Magna 1.2,78.9,1197.0,0.06591478696741855
Mercedes-Benz New C-Class C 220 CDI Avantgarde,170.0,2143.0,0.07932804479701354
Hyundai i10 Magna 1.2 iTech SE,78.9,1197.0,0.06591478696741855
Toyota Innova Crysta 2.4 ZX MT,147.8,2393.0,0.06176347680735479
Audi A6 2011-2015 2.0 TDI Technology,174.33,1968.0,0.08858231707317074
Toyota Innova 2.5 VX (Diesel) 7 Seater,100.6,2494.0,0.04033680834001604
Volkswagen Polo Petrol Trendline 1.2L,73.9,1198.0,0.06168614357262104
Maruti Alto K10 LXI,67.1,998.0,0.06723446893787574
Honda City i-VTEC CVT ZX,117.3,1497.0,0.0783567134268537
Tata Indigo LX,70.0,1405.0,0.0498220640569395
Audi A6 2011-2015 2.0 TDI Premium Plus,174.33,1968.0,0.08858231707317074
Mercedes-Benz GLA Class 200 CDI SPORT,136.0,2143.0,0.06346243583761083
Maruti Celerio VXI AT,67.04,998.0,0.06717434869739479
Mercedes-Benz GLE 250d,201.15,2143.0,0.09386374241717219
Land Rover Range Rover HSE Dynamic,187.7,2179.0,0.08614043139054611
Volkswagen Vento Diesel Trendline,103.6,1598.0,0.06483103879849812
Maruti Omni 8 Seater BSIV,35.0,796.0,0.04396984924623116
Honda Brio 1.2 VX MT,86.8,1198.0,0.07245409015025041
Tata Sumo Delux,83.1,2956.0,0.02811231393775372
Tata Indica Vista Aura 1.3 Quadrajet,75.0,1248.0,0.06009615384615385
Maruti Wagon R LXI BS IV,67.1,998.0,0.06723446893787574
Mahindra XUV500 W8 4WD,140.0,2179.0,0.06424965580541533
Tata Indigo LS Dicor,70.0,1396.0,0.050143266475644696
Maruti Ertiga Paseo VXI,93.7,1373.0,0.06824471959213402
Honda Accord 2.4 A/T,177.6,2354.0,0.07544604927782497
Maruti Swift Dzire VDi,73.9,1248.0,0.059214743589743594
Ford Fiesta EXi 1.4 TDCi Ltd,68.0,1399.0,0.04860614724803431
Honda City ZX GXi,78.0,1497.0,0.052104208416833664
Audi A6 2011-2015 2.0 TDI Premium Plus,174.33,1968.0,0.08858231707317074
BMW 6 Series 640d Gran Coupe,313.0,2993.0,0.10457734714333444
Audi Q7 45 TDI Quattro Technology,245.0,2967.0,0.08257499157398045
Hyundai i20 1.4 CRDi Asta,90.0,1396.0,0.06446991404011461
Hyundai i10 Sportz AT,78.9,1197.0,0.06591478696741855
Honda Jazz 1.2 V CVT i VTEC,88.7,1199.0,0.07397831526271893
Maruti Swift VDI BSIV,74.0,1248.0,0.05929487179487179
Hyundai i20 Asta 1.2,82.85,1197.0,0.06921470342522974
Volkswagen Polo Petrol Comfortline 1.2L,73.9,1198.0,0.06168614357262104
Maruti Alto LXi,46.3,796.0,0.05816582914572864
Toyota Corolla H4,125.0,1794.0,0.06967670011148272
Maruti Alto LXi,46.3,796.0,0.05816582914572864
Tata Manza ELAN Quadrajet BS IV,88.8,1248.0,0.07115384615384615
Maruti Alto LXi,46.3,796.0,0.05816582914572864
Skoda Octavia Ambition Plus 2.0 TDI AT,141.0,1968.0,0.07164634146341463
Toyota Corolla H4,125.0,1794.0,0.06967670011148272
Hyundai i20 Asta Option 1.2,81.83,1197.0,0.06836257309941521
Maruti Vitara Brezza LDi,88.5,1248.0,0.07091346153846154
Honda City 1.5 V MT,118.0,1497.0,0.0788243152972612
Tata Indica Vista Aqua 1.3 Quadrajet,75.0,1248.0,0.06009615384615385
Honda Amaze S i-Dtech,98.6,1498.0,0.06582109479305741
Hyundai EON D Lite Plus,55.2,814.0,0.06781326781326781
BMW 3 Series Luxury Line,190.0,1995.0,0.09523809523809523
Hyundai Verna 1.6 SX,126.32,1582.0,0.07984829329962073
Tata Manza Club Class Quadrajet90 LS,88.8,1248.0,0.07115384615384615
Skoda Octavia RS,227.0,1984.0,0.11441532258064516
Maruti Alto K10 VXI,67.1,998.0,0.06723446893787574
Ford Ecosport 1.5 DV5 MT Titanium Optional,89.84,1498.0,0.05997329773030708
Chevrolet Spark 1.0 LS,62.0,995.0,0.062311557788944726
Jaguar XF 2.0 Diesel Portfolio,177.0,1999.0,0.08854427213606804
Honda CR-V RVi MT,141.1,1997.0,0.07065598397596394
Skoda Superb L&K 1.8 TSI AT,177.46,1798.0,0.09869855394883204
Hyundai i10 Magna 1.2,78.9,1197.0,0.06591478696741855
Maruti Swift LDI,74.0,1248.0,0.05929487179487179
Maruti Swift Dzire VXi AT,83.14,1197.0,0.06945697577276524
Nissan Micra Diesel XV,63.1,1461.0,0.0431895961670089
Maruti Swift Dzire Tour LDI,74.0,1248.0,0.05929487179487179
Ford Fiesta Classic 1.4 Duratorq CLXI,67.0,1399.0,0.04789135096497498
Maruti Zen LX,60.0,993.0,0.06042296072507553
Mini Clubman Cooper S,192.0,1998.0,0.0960960960960961
Toyota Etios GD,67.05,1364.0,0.04915689149560117
Maruti Alto 800 2016-2019 LXI,47.3,796.0,0.059422110552763814
Maruti Alto VXi,47.0,796.0,0.059045226130653265
BMW X5 3.0d,235.0,2993.0,0.07851653859004344
Nissan Teana XV,179.5,2496.0,0.0719150641025641
Hyundai Grand i10 AT Asta,82.0,1197.0,0.06850459482038429
Maruti Vitara Brezza ZDi Plus,88.5,1248.0,0.07091346153846154
Audi Q7 3.0 TDI Quattro Premium Plus,241.4,2967.0,0.08136164475901585
Mercedes-Benz GLA Class 200 CDI,136.0,2143.0,0.06346243583761083
Maruti 800 AC,37.0,796.0,0.04648241206030151
Renault Duster 85PS Diesel RxL,83.8,1461.0,0.05735797399041752
Toyota Corolla Altis D-4D GL,87.2,1364.0,0.06392961876832845
Mercedes-Benz New C-Class 220,170.0,2148.0,0.07914338919925512
Maruti Ritz VDi,73.9,1248.0,0.059214743589743594
Honda BRV i-VTEC V CVT,117.3,1497.0,0.0783567134268537
Hyundai Xcent 1.1 CRDi Base,71.0,1120.0,0.06339285714285714
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,203.0,2143.0,0.09472701819878675
Mercedes-Benz B Class B180,120.7,1595.0,0.07567398119122257
Mercedes-Benz E-Class 2015-2017 E250 Edition E,204.0,2143.0,0.09519365375641624
Honda City i VTEC VX Option,117.3,1497.0,0.0783567134268537
Honda City 1.5 S MT,118.0,1497.0,0.0788243152972612
Hyundai Verna Transform VTVT,103.2,1599.0,0.06454033771106941
Jaguar XE Portfolio,246.74,1999.0,0.12343171585792898
Honda Amaze S i-Vtech,86.7,1198.0,0.07237061769616027
Mini Cooper Convertible 1.6,122.0,1598.0,0.07634543178973717
Mercedes-Benz S Class 2005 2013 S 350 CDI,282.0,2987.0,0.09440910612654838
Hyundai EON Magna Plus,55.2,814.0,0.06781326781326781
Maruti Wagon R VXI BS IV,67.04,998.0,0.06717434869739479
Maruti Ritz LDi,73.9,1248.0,0.059214743589743594
BMW 3 Series 320d Sedan,181.0,1995.0,0.09072681704260652
Tata Xenon XT EX 4X2,138.03,2179.0,0.06334557136301056
Audi A3 35 TDI Attraction,143.0,1968.0,0.07266260162601626
Land Rover Range Rover 2.2L Dynamic,187.7,2179.0,0.08614043139054611
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,224.0,2987.0,0.07499163039839303
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,175.56,2477.0,0.07087605974969721
