Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Power_to_Weight_Ratio
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,0.07560483870967742
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,0.07091346153846154
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,0.0797724399494311
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,0.06889185580774367
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,0.0663510560815732
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,0.07167919799498747
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6,0.06723446893787574
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22,0.07167919799498747
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7,0.06582109479305741
142,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,0.0683375104427736
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75,0.06910547396528705
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9,0.0663510560815732
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5,0.09523809523809523
151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25,0.05929487179487179
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86,0.06910547396528705
155,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23,0.06781326781326781
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,0.06163469557964971
157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5,0.05597662771285476
160,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11,0.06582109479305741
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2,0.0683375104427736
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42,0.05997329773030708
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25,0.07242990654205607
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,0.06591478696741855
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35,0.06356017191977077
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5,0.06153846153846154
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5,0.09523809523809523
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2,0.06163469557964971
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5,0.06942355889724311
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6,0.07984829329962073
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,0.06582109479305741
196,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55,0.06591478696741855
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25,0.06582109479305741
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0,0.07091346153846154
207,Toyota Etios Liva GD SP,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0,0.04916422287390029
210,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25,0.06582109479305741
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75,0.07984829329962073
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95,0.05735797399041752
214,Maruti Wagon R AMT VXI,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22,0.06713426853707415
221,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5,0.06582109479305741
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7,0.044490075290896644
225,Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65,0.06717434869739479
232,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6,0.06163469557964971
233,Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8,0.05929487179487179
240,Chevrolet Beat Diesel LT,Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65,0.06153846153846154
241,Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2,0.06356017191977077
248,Hyundai Grand i10 CRDi Era,Mumbai,2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.75,0.0625
249,Maruti Ciaz 1.3 Alpha,Chennai,2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.45,0.07091346153846154
250,Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,3.5,0.06483103879849812
258,Maruti Swift VXI BSIV,Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,5.95,0.0683375104427736
260,Maruti Swift VDI,Pune,2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,0.05929487179487179
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.6,0.0797724399494311
266,Maruti Ritz ZDi,Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,4.35,0.05924679487179487
272,Hyundai i10 Sportz,Bangalore,2010,36000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3.25,0.06591478696741855
275,Maruti Swift VDI,Hyderabad,2018,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.15,0.05929487179487179
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,3.75,0.05929487179487179
279,Maruti Swift Dzire ZDI,Jaipur,2012,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.35,0.05929487179487179
280,Maruti Alto 800 LXI,Kochi,2016,32227,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.26,0.059422110552763814
286,Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,46000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,3.11,0.06361031518624642
288,Volkswagen Vento Diesel Highline,Hyderabad,2011,69000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,4.7,0.06483103879849812
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,5.25,0.05929487179487179
295,Hyundai i10 Magna 1.2,Hyderabad,2010,74000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.1,0.06591478696741855
297,Hyundai i10 Magna 1.2 iTech SE,Pune,2012,45275,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.8,0.06591478696741855
302,Maruti Alto K10 LXI,Hyderabad,2011,70000,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.1,0.06723446893787574
309,Maruti Celerio VXI AT,Hyderabad,2014,77815,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.25,0.06717434869739479
312,Volkswagen Vento Diesel Trendline,Hyderabad,2011,108626,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.65,0.06483103879849812
329,Hyundai i20 1.4 CRDi Asta,Pune,2012,83000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,5.5,0.06446991404011461
332,Maruti Swift VDI BSIV,Hyderabad,2015,76496,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.15,0.05929487179487179
338,Tata Manza ELAN Quadrajet BS IV,Pune,2012,73000,Diesel,Manual,First,21.12,1248.0,88.8,5.0,3.4,0.07115384615384615
343,Maruti Vitara Brezza LDi,Chennai,2016,45000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.15,0.07091346153846154
346,Honda Amaze S i-Dtech,Kolkata,2013,57000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.45,0.06582109479305741
347,Hyundai EON D Lite Plus,Coimbatore,2016,27904,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.55,0.06781326781326781
348,BMW 3 Series Luxury Line,Kochi,2015,30717,Diesel,Automatic,Second,21.76,1995.0,190.0,5.0,25.99,0.09523809523809523
349,Hyundai Verna 1.6 SX,Bangalore,2012,80000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.25,0.07984829329962073
350,Tata Manza Club Class Quadrajet90 LS,Ahmedabad,2013,47304,Diesel,Manual,First,21.02,1248.0,88.8,5.0,2.9,0.07115384615384615
352,Maruti Alto K10 VXI,Pune,2017,30000,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.75,0.06723446893787574
353,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,68000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.75,0.05997329773030708
358,Hyundai i10 Magna 1.2,Chennai,2009,620000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.7,0.06591478696741855
359,Maruti Swift LDI,Delhi,2013,70000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.5,0.05929487179487179
361,Nissan Micra Diesel XV,Chennai,2011,83000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,2.75,0.0431895961670089
362,Maruti Swift Dzire Tour LDI,Mumbai,2015,130000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,3.25,0.05929487179487179
366,Toyota Etios GD,Kolkata,2014,45000,Diesel,Manual,First,23.59,1364.0,67.05,5.0,3.25,0.04915689149560117
367,Maruti Alto 800 2016-2019 LXI,Kolkata,2018,26200,Petrol,Manual,First,24.7,796.0,47.3,5.0,2.9,0.059422110552763814
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.49,0.07091346153846154
376,Renault Duster 85PS Diesel RxL,Chennai,2015,93000,Diesel,Manual,Second,20.45,1461.0,83.8,5.0,7.1,0.05735797399041752
377,Toyota Corolla Altis D-4D GL,Mumbai,2017,5900,Diesel,Manual,First,21.43,1364.0,87.2,5.0,16.5,0.06392961876832845
379,Maruti Ritz VDi,Hyderabad,2010,68000,Diesel,Manual,Second,21.1,1248.0,73.9,5.0,3.2,0.059214743589743594
381,Hyundai Xcent 1.1 CRDi Base,Kochi,2015,74310,Diesel,Manual,First,24.4,1120.0,71.0,5.0,4.0,0.06339285714285714
393,Hyundai EON Magna Plus,Chennai,2014,37000,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.25,0.06781326781326781
394,Maruti Wagon R VXI BS IV,Kolkata,2014,17400,Petrol,Manual,First,20.51,998.0,67.04,5.0,3.1,0.06717434869739479
395,Maruti Ritz LDi,Coimbatore,2011,90207,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.91,0.059214743589743594
398,Audi A3 35 TDI Attraction,Chennai,2014,79271,Diesel,Automatic,First,20.38,1968.0,143.0,5.0,16.5,0.07266260162601626
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,25.5,0.09523809523809523
419,Hyundai EON Magna Plus,Kolkata,2015,20800,Petrol,Manual,Second,21.1,814.0,55.2,5.0,2.25,0.06781326781326781
429,Toyota Etios VD,Bangalore,2013,37000,Diesel,Manual,First,23.59,1364.0,67.04,5.0,5.75,0.04914956011730206
431,Maruti Baleno Alpha Automatic,Coimbatore,2018,12831,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,9.89,0.06942355889724311
433,Hyundai EON Era Plus,Kochi,2018,13102,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.06,0.06781326781326781
434,Renault Captur 1.5 Diesel RXL,Coimbatore,2019,24950,Diesel,Manual,First,20.37,1461.0,108.45,5.0,13.37,0.0742299794661191
436,Maruti Alto 800 LXI,Kochi,2016,34267,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.74,0.059422110552763814
444,Hyundai EON D Lite,Hyderabad,2014,20600,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.6,0.06781326781326781
448,Tata Indica Vista Quadrajet LS,Hyderabad,2014,67000,Diesel,Manual,First,22.3,1248.0,74.0,5.0,2.5,0.05929487179487179
455,Maruti Celerio LDi,Hyderabad,2016,80219,Diesel,Manual,First,27.62,793.0,47.0,5.0,3.5,0.05926860025220681
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,Diesel,Manual,First,25.1,1248.0,88.5,5.0,8.92,0.07091346153846154
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,36.5,0.09523809523809523
462,Hyundai Xcent 1.1 CRDi S Celebration Edition,Pune,2016,51000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,5.25,0.06339285714285714
463,Ford Ecosport 1.5 DV5 MT Titanium,Delhi,2014,31465,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.5,0.05997329773030708
465,Hyundai Grand i10 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.6,0.0625
466,Tata Manza Aqua Quadrajet BS IV,Ahmedabad,2013,47000,Diesel,Manual,First,21.12,1248.0,88.8,5.0,2.95,0.07115384615384615
470,Maruti Ciaz 1.3 S,Coimbatore,2017,25142,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.26,0.07091346153846154
484,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,52000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.75,0.06163469557964971
485,Maruti Ritz VDi,Jaipur,2011,91000,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.0,0.05924679487179487
486,Nissan Micra Diesel XV Premium,Pune,2013,60000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.55,0.0431895961670089
487,Hyundai Verna 1.6 SX,Kolkata,2013,37873,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.8,0.07984829329962073
504,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,79000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.25,0.05997329773030708
514,Skoda Rapid 1.6 TDI Ambition,Pune,2013,64186,Diesel,Manual,First,20.5,1598.0,103.5,5.0,3.76,0.06476846057571965
518,Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5,998.0,67.04,5.0,3.3,0.06717434869739479
520,Maruti Celerio VXI,Jaipur,2014,56000,Petrol,Manual,First,23.1,998.0,67.04,5.0,2.79,0.06717434869739479
526,Maruti Swift VXI,Kochi,2019,20667,Petrol,Manual,First,22.0,1197.0,81.8,5.0,6.37,0.0683375104427736
528,Maruti Swift VXI Optional,Kochi,2017,31696,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.75,0.0683375104427736
542,Hyundai i20 Asta 1.4 CRDi,Delhi,2014,43900,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.75,0.06356017191977077
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,29.4,0.09523809523809523
551,Maruti Ciaz RS ZDi Plus SHVS,Delhi,2016,41000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,9.5,0.07091346153846154
556,Toyota Etios Liva GD,Chennai,2013,179000,Diesel,Manual,First,23.59,1364.0,67.04,5.0,3.8,0.04914956011730206
558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13,1498.0,108.4,5.0,10.5,0.07236315086782377
559,Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,50000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,6.2,0.05927903871829105
564,Honda Jazz 1.5 S i DTEC,Jaipur,2015,63642,Diesel,Manual,First,27.3,1498.0,98.6,5.0,5.65,0.06582109479305741
565,Honda Amaze VX i-DTEC,Kochi,2015,62550,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.6,0.06582109479305741
567,Maruti Swift Dzire VDI,Coimbatore,2016,38461,Diesel,Manual,First,26.59,1248.0,74.0,5.0,7.39,0.05929487179487179
572,Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,77240,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,8.31,0.07984829329962073
574,Maruti Swift VDI,Chennai,2014,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.25,0.05929487179487179
578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14,1498.0,88.0,5.0,8.12,0.05874499332443257
580,Honda City i DTEC VX Option,Coimbatore,2017,45366,Diesel,Manual,First,25.1,1498.0,98.6,5.0,10.88,0.06582109479305741
590,Renault Duster 85PS Diesel RxL,Ahmedabad,2014,55000,Diesel,Manual,First,20.45,1461.0,83.8,5.0,4.75,0.05735797399041752
595,Maruti Swift LDI Optional,Kochi,2018,52010,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.2,0.05929487179487179
604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,9.45,0.07242990654205607
606,Nissan Terrano XL 85 PS,Hyderabad,2014,59962,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.9,0.05735797399041752
607,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,72000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5.8,0.07984829329962073
610,Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,Diesel,Manual,First,23.9,1582.0,126.2,5.0,10.7,0.0797724399494311
616,Hyundai EON Era Plus,Hyderabad,2015,68764,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.9,0.06781326781326781
617,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.9,0.06163469557964971
618,Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.9,0.07091346153846154
620,Hyundai EON Sportz,Coimbatore,2016,14077,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.95,0.06781326781326781
627,Hyundai i20 Asta 1.4 CRDi,Delhi,2014,67407,Diesel,Manual,First,21.27,1396.0,88.76,5.0,4.65,0.06358166189111748
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,20.7,1496.0,113.98,5.0,29.5,0.07618983957219251
639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.89,1197.0,81.8,5.0,5.7,0.0683375104427736
642,Hyundai i10 Sportz,Kolkata,2013,25000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.65,0.06591478696741855
643,Hyundai Verna 1.6 CRDI,Coimbatore,2016,37882,Diesel,Manual,First,22.32,1582.0,126.3,5.0,9.19,0.07983565107458912
650,Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,36381,Diesel,Manual,First,28.09,1248.0,88.5,5.0,9.75,0.07091346153846154
654,Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.75,0.06723446893787574
656,Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,2.8,0.06446991404011461
661,Hyundai Grand i10 CRDi Sportz,Jaipur,2014,64000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.15,0.0625
665,Maruti Ritz VDi,Pune,2015,65000,Diesel,Manual,Second,23.2,1248.0,73.94,5.0,3.27,0.05924679487179487
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.31,0.07091346153846154
670,Maruti Ciaz ZXi,Pune,2014,49500,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.0,0.0663510560815732
672,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.65,0.06163469557964971
674,Maruti Swift Dzire VDI,Jaipur,2015,60000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,6.25,0.05929487179487179
678,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,75200,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.25,0.07984829329962073
679,Maruti Ciaz VDI SHVS,Kochi,2017,41217,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.4,0.07091346153846154
683,Honda Amaze EX i-Dtech,Bangalore,2013,33800,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,4.7,0.06582109479305741
684,Hyundai i20 Asta 1.4 CRDi,Hyderabad,2015,86157,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.5,0.06356017191977077
685,Maruti Ritz VDi,Hyderabad,2012,146824,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.55,0.059214743589743594
688,Maruti Vitara Brezza LDi Option,Pune,2017,38000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.99,0.07091346153846154
690,Maruti Alto K10 VXI AGS,Hyderabad,2017,25058,Petrol,Automatic,First,24.07,998.0,67.1,5.0,3.95,0.06723446893787574
691,Hyundai EON Era Plus,Kochi,2016,36700,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.38,0.06781326781326781
